Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
15521731,75,2016-10-15,Superhost,1.0,VII San Giovanni/Cinecittà,7.0,3.0,Entire home,8,143.0,361,4.95,4.98,4.97,4.95,4.96,4.78,4.9,4.17,Roma,Early Winter,3,private,"41.88267, 12.51691",2024-12-15
39988302,11,2012-01-24,Host,9.0,II Parioli/Nomentano,2.0,1.0,Entire home,5,131.0,27,4.67,4.63,4.78,4.85,4.74,4.59,4.48,0.56,Roma,Early Winter,2,private,"41.90069, 12.51078",2024-12-15
14437052,21,2016-08-09,Host,7.0,I Centro Storico,1.0,1.0,Hotel room,2,67.0,142,4.42,4.46,4.36,4.7,4.66,4.73,4.42,1.64,Roma,Early Winter,1,private,"41.89775, 12.50077",2024-12-15
984744693161210317,4,2019-07-08,Host,1.0,I Centro Storico,1.0,1.0,Private room,2,90.0,4,4.75,5.0,5.0,4.75,5.0,5.0,5.0,1.76,Roma,Early Winter,1,private,"41.905486780786745, 12.46273281155854",2024-12-15
854306668241811081,2,2023-03-24,Host,1.0,V Prenestino/Centocelle,3.0,2.0,Entire home,5,147.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.24,Roma,Early Winter,1,private,"41.8916847, 12.5416552",2024-12-15
21135029,0,2017-09-28,Host,6.0,I Centro Storico,1.0,1.0,Hotel room,2,166.0,2,5.0,4.5,5.0,5.0,5.0,4.5,5.0,0.04,Roma,Early Winter,1,private,"41.91197, 12.46183",2024-12-15
11271853,0,2016-02-15,Host,2.0,XIII Aurelia,2.0,1.0,Entire home,4,329.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01,Roma,Early Winter,1,private,"41.91009, 12.42379",2024-12-15
41812741,7,2011-10-28,Host,1.0,I Centro Storico,1.0,1.0,Private room,2,60.0,7,5.0,4.57,4.71,4.86,5.0,4.86,4.86,2.88,Roma,Early Winter,1,private,"41.914164342962565, 12.466212950212295",2024-12-15
20090018,51,2012-05-15,Host,15.0,II Parioli/Nomentano,4.0,2.0,Entire home,5,79.0,288,4.59,4.72,4.69,4.87,4.84,4.38,4.59,3.74,Roma,Early Winter,1,private,"41.89719, 12.51348",2024-12-15
904190090013392672,8,2021-03-04,Superhost,4.0,I Centro Storico,2.0,1.0,Entire home,2,160.0,8,4.88,4.75,4.75,5.0,5.0,5.0,4.88,1.56,Roma,Early Winter,1,private,"41.90417172278752, 12.479442879590737",2024-12-15
38637203,0,2015-12-16,Host,58.0,I Centro Storico,3.0,2.0,Entire home,5,250.0,2,5.0,4.5,5.0,5.0,5.0,5.0,5.0,0.04,Roma,Early Winter,1,private,"41.90138, 12.46867",2024-12-15
707333298536262733,23,2021-11-01,Superhost,1.0,I Centro Storico,2.0,1.0,Entire home,4,180.0,23,4.78,4.87,4.61,4.87,4.83,4.78,4.74,2.32,Roma,Early Winter,2,private,"41.88113756386932, 12.473397596295186",2024-12-15
6150158,26,2015-04-25,Superhost,3.0,XIV Monte Mario,1.0,1.0,Private room,2,70.0,52,4.87,4.87,4.9,4.98,4.98,4.69,4.81,0.59,Roma,Early Winter,2,shared,"41.92122, 12.42058",2024-12-15
49748850,20,2015-10-01,Host,3.0,I Centro Storico,2.0,1.0,Entire home,3,101.0,39,4.85,4.87,4.72,4.97,4.97,4.77,4.69,1.28,Roma,Early Winter,1,private,"41.8757, 12.48872",2024-12-15
868037055750891245,27,2023-04-08,Host,3.0,XII Monte Verde,1.0,1.0,Private room,2,87.0,27,4.78,4.85,4.78,4.81,4.89,4.22,4.3,3.31,Roma,Early Winter,1,private,"41.8786643, 12.4487301",2024-12-15
685333089311609984,1,2014-12-03,Host,40.0,I Centro Storico,4.0,2.0,Entire home,8,177.0,3,3.0,3.33,3.33,4.33,3.0,4.0,3.33,0.2,Roma,Early Winter,2,private,"41.892727, 12.506139",2024-12-15
18903972,1,2014-02-21,Host,2.0,II Parioli/Nomentano,2.0,1.0,Entire home,4,143.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.18,Roma,Early Winter,1,private,"41.91588, 12.47406",2024-12-15
1016638419204588491,2,2023-09-27,Host,4.0,I Centro Storico,2.0,1.0,Private room,2,100.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.67,Roma,Early Winter,1,shared,"41.89899161474074, 12.49516537230626",2024-12-15
729026969511050386,9,2016-07-13,Host,2.0,V Prenestino/Centocelle,1.0,1.0,Private room,2,55.0,9,5.0,5.0,4.78,4.56,5.0,4.67,4.89,2.67,Roma,Early Winter,1,shared,"41.8819181, 12.5378704",2024-12-15
14211479,8,2016-05-09,Superhost,9.0,I Centro Storico,1.0,1.0,Entire home,4,108.0,180,4.83,4.88,4.87,4.95,4.94,4.96,4.77,2.06,Roma,Early Winter,1,private,"41.900894, 12.475376",2024-12-15
48414595,31,2016-02-16,Host,8.0,I Centro Storico,2.0,1.0,Entire home,4,108.0,61,4.51,4.66,4.48,4.92,4.95,4.93,4.41,1.97,Roma,Early Winter,1,private,"41.90063, 12.46635",2024-12-15
693301103983578561,42,2023-09-05,Host,6.0,I Centro Storico,2.0,1.0,Entire home,6,118.0,48,4.82,4.82,4.9,4.94,4.88,4.8,4.78,3.22,Roma,Early Winter,1,private,"41.905391, 12.4466706",2024-12-15
17749251,11,2012-08-24,Host,33.0,I Centro Storico,3.0,2.0,Entire home,8,203.0,158,4.73,4.87,4.84,4.97,4.93,4.97,4.75,1.93,Roma,Early Winter,1,private,"41.88787, 12.47735",2024-12-15
34545475,78,2016-12-10,Host,14.0,I Centro Storico,1.0,1.0,Shared room,1,24.0,254,4.46,4.54,4.54,4.75,4.51,4.63,4.55,4.56,Roma,Early Winter,2,shared,"41.89908, 12.50229",2024-12-15
